metabolite_name,superclass,subclass,pathway_tag,annotation_source,review_status,ambiguous_flag,notes
4-Pyridoxic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Methylguanidine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
 2'-Deoxyguanosine 5'-monophosphate (Deoxy-GMP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glucuronic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
1-Methyladenosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Deoxyuridine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Gluconic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Urocanic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
4-Acetamidobutanoic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Cytidine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Citicoline,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Phosphoserine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
1-Aminocyclopropanecarboxylic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Cystathionine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-Hydroxymethylglutaric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Phosphonoacetate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-methyl-glutamic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Xanthosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Cysteic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Methyl-aspartic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Acetylasparagine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
 2'-Deoxyguanosine 5'-triphosphate(dGTP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Nicotinamide hypoxanthine dinucleotide,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
S-Adenosylmethionine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
D-Glucosaminic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
2-Keto-3-deoxy-D-gluconic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
4-Trimethylammoniobutanoic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
"Adenosine 2',3'-cyclic phosphate",,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Galactose 1-phosphate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Phosphorylcholine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Acetylcarnitine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
 2'-Deoxyguanosine 5'-diphosphate(dGDP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
"Cytidine 2',3'-cyclic phosphate",,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Trimethyllysine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Inosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Phosphoenolpyruvic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Mannose 6-phosphate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
O-Phosphoethanolamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Cytidine monophosphate(CMP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
ADP-glucose,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Fructose 6-phosphate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
p-Octopamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Alpha-acetyllysine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Cytosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Flavin adenine dinucleotide(FAD),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Deoxyguanosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
AICAR,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Adenine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Uridine diphosphate glucuronic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Asymmetric dimethylarginine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Cytidine 5'-diphosphate(CDP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Histamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Thiamine monophosphate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Uracil 5-carboxylate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
4-Guanidinobutanoic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
D-Mannosamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Deoxyadenosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Acetylputrescine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Acetylglutamic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Inosine-monophosphate(IMP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
2-Aminoisobutyric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Aniline-2-sulfonate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
S-Carboxymethyl-cysteine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Histidinol,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Thymideine-monophosphate(dTMP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Ureidopropionic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
5-Aminopentanoic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Formylglycine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Adenosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Raffinose,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
meso-Tartaric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-Methoxytyrosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Lactose,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Galacturonic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
cis-4-Hydroxy-D-proline,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glucosamine 6-sulfate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Adenosine diphosphate ribose(ADP-ribose),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Ophthalmic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Trigonelline,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
"3,4-Dihydroxyphenylglycol",,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Stachyose,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Deoxycytidine-diphosphate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
D-Ribose 5-phosphate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Galactosamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
 2'-Deoxyadenosine 5'-triphosphate(dATP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glycerol 3-phosphate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Uridine 5'-diphosphate(UDP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
p-Aminobenzoic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Methylalanine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
2-Phosphoglyceric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Ethylmalonic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Thymidine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Pterin,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
2-Methylcitric Acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Dihydrobiopterin,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Beta-Glycerophosphoric acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glucose 1-phosphate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Porphobilinogen,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Mevalonic acid,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Salsolinol,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Diethanolamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
myo-Inositol,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Uridine 5'-monophosphate(UMP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Mannitol,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Cellobiose,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
D-Pinitol,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Thymine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Uridine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Uracil,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
2'-Deoxycytidine 5'-monophosphate(dCMP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Hypoxanthine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Dopa,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Purine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Guanosine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Guanine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Pyridoxine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
2'-Deoxyadenosine 5'-monophosphate(dAMP),,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Nicotinamide ribotide,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
3-Methylhistidine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
"2,6-Diaminopimelic acid",,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Glucosamine 6-phosphate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
N-Acetylmannosamine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Homocysteine,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
Xylulose 5-phosphate,,,,matrix_header_seed,unreviewed,False,Seeded from matrix.xlsx header on 2026-03-31
